Telaio	Status	Modello	Data Gated In	Data Consegna	Tecnico	Carrozzeria 1	Carrozzeria extra	Bisarchista	1	2	3	4	5	6	7	8	9	10	Note
KPJ45240	IC–INCarrozzeria	RENEGADE	13/03/2020		Damiani	New Mercury			PARABREZZA	FRECCIA SPECCHIO SX	RASAVETRO ANT E POST DX								Raschiavetro ant dx e sx, fanale post sx e dx
KPJ45626	IC–INCarrozzeria	RENEGADE	20/02/2020		Damiani	New Mercury			3 STOP										MANCANO PEZZI COFANO (spazio Torino) Cofano, componenti sottocofano, coprimontante post sx della porta post, raschiavetri ant e post sx, barra completa dx 
KT660330	IC–INCarrozzeria	COMPASS	13/03/2020		Damiani	New Mercury	X Car		PARABREZZA	MOD LATO SX P									Cofano, plastica tra  e cofano dx, tutti i raschiavetri, coprimontante ant dx e sx, coprimontante post della porta post dx, plastiche davanti a copribarra sia dx che sx, plastica sotto lo spoiler a dx, copribarra dx, faro ant sx no led, faro post sx
KPJ65238	In rientro	RENEGADE	11/03/2020		Damiani	New Mercury			RASAVETRO ANT SX	RASAVETRO POST SX	FANALINO PARAURTI POST SX (ROSSO)								BASSINGHI. Freccia specchi sx e dx, calotta dx, raschiavetro ant e post sia dx che sx, retronebbia sx paraurti post
KT727951	PF–Preparazionefinale	COMPASS	14/02/2020		Damiani	New Mercury	X Car		MOD COFANO POST (C)	3° STOP	MOD LATO SX MOD. ANT/POST/PARAFANGO POST	FANALE POST SX (PA)	fianchetto plastica a lato sx						ARRIVATA 28/4
KPJ68749	Pronta x consegna	RENEGADE	29/01/2020		Damiani	New Mercury	Eurocar		3° STOP	PARABREZZA	FRECCIA DX								
KPJ67268	IC–INCarrozzeria	RENEGADE	20/02/2020		Ederson	New Mercury			FRECCIA SX										
KT632334	Pronta x consegna	COMPASS	14/02/2020		Ederson	New Mercury			PARABREZZA	MOD LATO DX  ANT/POST/PARAFANGO POST	MONTANTE ANT PORTA POST SX	MONTANTE POST PORTA POST SX							Manca logo porta DX
KPJ54155	Pronta x consegna	RENEGADE	12/02/2020		Ederson	New Mercury			TERZO STOP										
K7C62274	FA-Fatturato	STELVIO	21/10/2019	12/11/2019	Juliano	New Mercury			PARABREZZA	MOD LATO SX ANT/POST									
KPJ26788	FA-Fatturato	RENEGADE	21/10/2019	17/12/2019	Juliano	New Mercury			FRECCIA DX	CALOTTA  SX									
KPJ45723	FA-Fatturato	RENEGADE	21/10/2019	17/12/2019	Juliano	New Mercury			CALOTTA  DX+SX										
KPK16633	FA-Fatturato	RENEGADE	21/10/2019	12/11/2019	Juliano	New Mercury													
7523230	FA-Fatturato	GIULIETTA	10/02/2020	28/02/2020	Juliano	New Mercury	X Car												
KPJ62024	FA-Fatturato	RENEGADE	29/01/2020	07/03/2020	Juliano	New Mercury			LUNOTTO	calotta dx	catadiottro dx	proiettore dx	terzo stop	rasciavetro ant e post dx					montare  lunotto
K7598782	PF–Preparazionefinale	GIULIA	07/01/2020		Juliano	New Mercury			COFANO POSTERIORE + LOGO GIULIA NERO	FANALE POST PARAFANGO SX	VETRINO FRECCIA SPECCHIO RESTROVISORE SX	CORNICE PLASTICA NERA ANTERIORE DEL MONTANTE MOD POSTERIORE SX 							Plastica tra finestrino e deflettore dx
KPJ69123	PF–Preparazionefinale	RENEGADE	20/02/2020		Juliano	New Mercury			3 STOP										ARRIVATA 28/4
KT710806	PF–Preparazionefinale	COMPASS	14/02/2020		Juliano	New Mercury			MOD LATO SX SUPERIORI ANT/POST/PARAFANGO POST	PARABREZZA	CORPO SPECCHIO SX	VETRINO SPECCHIO RETROVISORE SX	MOD COFANO POST						 - Cofano Xcar, corpo specchio sx, copribarra tetto sx nera, modanatura ant sx e parafango sx, raschiavetro ant sx, 
KPJ82886	Pronta x consegna	RENEGADE	28/01/2020		Juliano	New Mercury	X Car		corpo specchio dx 	FANALI POST DX+SX	3° STOP	RASAVETRO ANT E POST LATO sx							ARRIVATA 28/4
KPJ93177	FA-Fatturato	RENEGADE	11/12/2019	24/01/2020	Leo	New Mercury			3° STOP	BASE ANTENNA	VETRO SPECCHIO ESTERNO SINISTRO	GANCIO SOSTEGNO ALETTA PARASOLE DESTRA	RASAVETRO ESTERNO POST DESTRO						
KPJ68762	FA-Fatturato	RENEGADE	09/01/2020	17/02/2020	Leo	New Mercury			VETRINO SPECCHIO RETROVISORE DX	FANALINO PARAFANGFO ANT DX									
KT606933	FA-Fatturato	COMPASS	07/01/2020	17/02/2020	Leo	New Mercury			MOD LATO DX ANT/POST/PARAFANGO POST	MOD COFANO POST POSTERIORE	FANALE POST. DX (PA)	CORNICE PLASTICA NERA ANTERIORE DEL MONTANTE MOD POSTERIORE DX 							
KPK02048	FA-Fatturato	RENEGADE	11/12/2019	28/02/2020	Leo	New Mercury			3° STOP	PARABREZZA	FRECCIA DX	RASAVETRO ANT EST DESTRO	RASAVETRO EST POST DESTRO						 e Calandra
KPJ68420	Pronta x consegna	RENEGADE	05/02/2020		Leo	New Mercury		TCA	3° STOP										
KPJ68892	Pronta x consegna	RENEGADE	12/02/2020		Leo	New Mercury	Eurocar		CATADIOTTRO ANT SX	RASAVETRO ANT E POST SX	CALANDRA SOTTOPARABREZZA								
K7C55480	FA-Fatturato	STELVIO	03/03/2020	05/05/2020	Rafael	New Mercury			RASAVETRO ANT DX	MOD POST DX									
KT632443	PF–Preparazionefinale	COMPASS	14/02/2020		Rafael	New Mercury			PARABREZZA	MOD LATO SX SUPERIORI ANT/POST/PARAFANGO POST	MOD COFANO POST	FANALE POST SX (PA)	TERZO STOP	CALANDRA SOTTOPARABREZZA					Enrico re  Cofano, modanatura ant sx, raschiavetro ant sx, coprimontante ant sx, fascione, tappini
KT766226	Pronta x consegna	COMPASS	20/02/2020		Rafael	New Mercury	Eurocar		PARABREZZA	MOD LATO DX  ANT/POST/PARAFANGO POST NERA	FANALE POST DX (PA)	CORRIMANO DX NERO							
KPK18685	Pronta x consegna	RENEGADE	28/02/2020		Rafael	New Mercury	X Car		CALOTTA SX	3° STOP									
KPJ30130	FA-Fatturato	RENEGADE	10/12/2019	28/01/2020	Roberto	New Mercury			CAPPELLIERA DEFORMATA	TERZO STOP 	RASAVETRO EST ANT SINISTRO	RASAVETRO EST POST SINISTRO							
KPJ30511	FA-Fatturato	RENEGADE	11/12/2019	21/01/2020	Roberto	New Mercury			RASAVETRO anteriore destro 	RASAVETRO est post dx	fanale post destro								
KPJ67790	FA-Fatturato	RENEGADE	13/01/2020	18/02/2020	Roberto	New Mercury			BASE ANTENNA										
KPJ30839	FA-Fatturato	RENEGADE	16/01/2020	03/03/2020	Roberto	New Mercury			FANALE ANT	terzo stop	calotta specchio est sx								
KPJ36131	FA-Fatturato	RENEGADE	20/01/2020	06/03/2020	Roberto	New Mercury			CORPO SPECCHIO RETROVISORE SX	TERZO STOP	FANALE POST SX								
KPJ68870	FA-Fatturato	RENEGADE	13/01/2020	25/02/2020	Roberto	New Mercury			3° STOP										
7528092	FA-Fatturato	GIULIETTA	03/02/2020	11/03/2020	Roberto	New Mercury			proiettore parafango sx	RASAVETRO ant e post sx, e cornici cromate ant e post sx	cornice ant dx								vern porta dx
KPJ69790	FA-Fatturato	RENEGADE	07/02/2020	11/03/2020	Roberto	New Mercury													Carpi
KPJ68620	IC–INCarrozzeria	RENEGADE	03/02/2020		Roberto	New Mercury			FRECCIA SPECCHIO SX										
KPJ28092	PF–Preparazionefinale	RENEGADE	16/01/2020		Roberto	New Mercury			PANNELLO PORTA POST SX + GUIDA										Mandare e Eurocar
KT609595	PF–Preparazionefinale	COMPASS	08/02/2020		Roberto	New Mercury			MOD COFANO POST (C)	MOD LATO SX ANT/POST/PARAFANGO POST	FANALE POST SX (PARAFANGO)	CROMATURA CORRIMANO SX							
KT762276	Pronta x consegna	COMPASS	19/02/2020		Roberto	New Mercury	X Car		PARABREZZA	MOD lato sx  ANT/POST/PARAFANGO POST	FARO LATO SX	CORRIMANO SX							
7523586	Pronta x consegna	GIULIETTA	12/02/2020		Roberto	New Mercury			FANALE POST DX (COFANO)	RASAVETRO post dx									
KPJ67520	Pronta x consegna	RENEGADE	20/02/2020		Roberto	New Mercury			FRECCIA LATO SX										ARRIVATA 28/4
KPJ52972	FA-Fatturato	RENEGADE	10/11/2019	17/12/2019	Tognetti/Benvenuti	New Mercury													
KT710681	FA-Fatturato	COMPASS	11/12/2019	31/01/2020	Leo	noi			PARABREZZA	MOD LATO SX  ANT/POST/PARAFANGO POST	GUARNIZIONE PARABREZZA ANT SX 	CORNICE CORRIMANO SX 							
KT710816	Pronta x consegna	COMPASS	19/02/2020		Ciro	Prestige			MOD LATO SX SUPERIORI ANT/POST/PARAFANGO POST	MOD COFANO POST									
KPJ44510	Pronta x consegna	RENEGADE	10/02/2020		Costantino	Prestige			FRECCIA SPECCHIO SX										
KT663458	Pronta x consegna	COMPASS	13/02/2020		Damiani	Prestige			MOD LATO DX SUPERIORI ANT/POST/PARAFANGO POST	MOD COFANO POST									
KPJ66354	Pronta x consegna	RENEGADE	21/02/2020		Ederson	Prestige			Calandra tra cofano e parabrezza										 
KPK32561	IC–INCarrozzeria	RENEGADE	21/02/2020		Fabrizio	Prestige			fanale post SX	TAPPO BENZINA									
KT642094	IC–INCarrozzeria	COMPASS	04/03/2020		Fabrizio	Prestige	X Car		MOD LATO DX  ANT/POST/PARAFANGO POST	FANALE POST DX (PA)	MOD COFANO POST	MONTANTE PORTA ANT DX	PROFILO ANTERIORE CORRIMANO DX						
KT710121	IC–INCarrozzeria	COMPASS	27/02/2020		Fabrizio	Prestige			MOD LATO SX SUPERIORI ANT/POST/PARAFANGO POST	FANALE POST SX	3° STOP	CORRIMANO SX	RASAVETRO ANT E POST DX						
KT691134	Pronta x consegna	COMPASS	21/02/2020	05/05/2020	Fabrizio	Prestige	X Car		MOD TETTO	MOD LATO SX  ANT/POST/PARAFANGO POST	FARO POST. SX (PA)	SOST CROMATURE PARAFANGO DX							
KPJ45969	IC–INCarrozzeria	RENEGADE	13/03/2020		Noi	Prestige			PARABREZZA	CATARARINFRANGENTE DX	FRECCIA SPECCHIO DX								
KPJ86581	IC–INCarrozzeria	RENEGADE	13/03/2020		Noi	Prestige			RASAVETRO ANT DX	3° STOP	MONTANTE INTERNO ANTERIORE DX (TRA PARABREZZA E PORTA DX								
KT631254	IC–INCarrozzeria	COMPASS	13/03/2020		Noi	Prestige			MOD COFANO POST	MOD LATO DX ANT/POST/PARAFANGO POST	3° STOP								
KT635650	PF–Preparazionefinale	COMPASS	28/02/2020		Rafael	Prestige			MOD lato Sx  ANT/POST/PARAFANGO POST	Corrimano Sx	PARABREZZA	MONTANTE PORTA ANT SX							Modanatura ant sx, raschiavetro ant e post sx, coprimontante ant sx, scritta porta sx, copribarra tetto sx cromato, tappini 
KT642213	PF–Preparazionefinale	COMPASS	19/02/2020		Rafael	Prestige			MOD LATO DX  ANT/POSTA	3° STOP	PARABREZZA	MOD COFANO POST							Cofano, tappini, modanature nere parafango post dx e sx 
KT710795	PF–Preparazionefinale	COMPASS	14/02/2020		Roberto	Prestige			Calandra tra cofano e parabrezza	Corrimano Sx NERO	MOD LATO SX MOD. ANT/POST/PARAFANGO POST	MOD COFANO POST							Logo porta ant sx e tappini portellone
KPJ46158	Pronta x consegna	RENEGADE	10/02/2020		Roberto	Prestige			FANALE POST SX										
KPJ54526	Pronta x consegna	RENEGADE	12/02/2020		Roberto	Prestige			3° STOP	RASAVETRO ANT E POST SX									
KPJ65697	Pronta x consegna	RENEGADE	19/02/2020		Roberto	Prestige			CORPO SPECCHIO DX										
KPJ58355	Pronta x consegna	RENEGADE	12/02/2020		Roberto	PRESTIGE			PARABREZZA										
KPJ45080	IC–INCarrozzeria	RENEGADE	13/03/2020		Tettamanti	Prestige			FANALE POST. DX	FANALE POST SX	RASAVETRO ANT SX								
KPJ81260	IC–INCarrozzeria	RENEGADE	11/03/2020		Tettamanti	Prestige			FANALE POST SX	VETRO CALOTTA  SX	RASAVETRO ANT SX								
KT604716	IC–INCarrozzeria	COMPASS	13/03/2020		Tettamanti	Prestige			SPORTELLO CARBURANTE	PARABREZZA	MOD LATO DX MOD ANT/POST/PARAFANGO	CORRIMANO DX	MONT PORTA POST DX POSTERIORE	MONT PORTA ANT DX 					
KT663229	IC–INCarrozzeria	COMPASS	13/03/2020		Tettamanti	Prestige			PARABREZZA	MOD COFANO POST	FANAle post SX (PA)	MOD LATO SX ANT/POST/PARAFANGO POST/PORTELLONE							
KPJ51111	FA-Fatturato	RENEGADE	10/01/2020	06/03/2020	Ciro	Regina			CALOTTA  SX										
KPJ09029	IC–INCarrozzeria	RENEGADE	07/01/2020		Ciro	Regina			CATADIOTTRO PARAFANGO ANT SX	3° STOP									
KPJ45633	IC–INCarrozzeria	RENEGADE	10/02/2020		Costantino	Regina			CORPO SPECCHIO DX	barra corrimano dx									
KT660338	IC–INCarrozzeria	COMPASS	20/02/2020		Costantino	Regina			PARABREZZA	MOD LATO DX  ANT/POST/PARAFANGO POST	MOD LATO SX  P/PA	MOD COFANO POST	FANALE POST. DX (PA)	CALANDRA SOTTO PARABREZZA					
KPJ51834	Pronta x consegna	RENEGADE	13/01/2020		Costantino	Regina			PARABREZZA	CATADIOTTRO ANT DX									
KT710773	IC–INCarrozzeria	COMPASS	14/02/2020		Ederson	Regina	X Car		PARABREZZA	MOD LATO SX ANT/POST	MOD LATO DX P								Solo tetto
KT642273	in rientro	COMPASS	20/02/2020		Ederson	Regina			MOD COFANO POST nera	3° STOP	MOD LATO DX ANT/POST/PARAFANGO POST nere								Enrico modena
KPJ10589	FA-Fatturato	RENEGADE	09/01/2020	10/03/2020	Juliano	Regina			FRECCIA SX	CALOTTA  SX	RINFRANGENTE PARAFANGO ANT SX								
KPJ67494	IC–INCarrozzeria	RENEGADE	20/02/2020		juliano	Regina			CATARINFRANGENTE ANT SX										
KPJ58671	Pronta x consegna	RENEGADE	20/02/2020		Juliano	Regina			FARO POST SX										
KPJ46811	FA-Fatturato	RENEGADE	16/01/2020	06/03/2020	Leo	Regina			FRECCIA SX										
KPJ52085	IC–INCarrozzeria	RENEGADE	22/01/2020		Leo	Regina	X Car		FANALE POSTERIORE DX										
KPJ64720	IC–INCarrozzeria	RENEGADE	20/02/2020		Leo	Regina			PANNO SOTTOCOFANO	Calandra tra cofano e parabrezza									
KT632444	in rientro	COMPASS	18/02/2020		Leo	Regina	X Car		MOD LATO SX ANT/POST 										Enrico
KPK17563	in rientro	RENEGADE	21/02/2020		Rafael	Regina			VETRINO FRECCIA SINISTRA	Calandra tra cofano e parabrezza									
KPJ31127	FA-Fatturato	RENEGADE	21/01/2020	04/03/2020	Roberto	Regina			CATADIOTTRO ANT DX	CORPO SPECCHIO DESTRO + FANALIN FRECCIA	3° STOP								
KPJ44705	FA-Fatturato	RENEGADE	14/01/2020	10/03/2020	Roberto	Regina			CALOTTA  SX	VETRINO FRECCIA CALOTTA SX	SPECCHIO DX COMPLETO								
KPJ67720	IC–INCarrozzeria	RENEGADE	20/02/2020		Roberto	Regina			3 STOP	TAPPO BENZINA									
KT644739	in rientro	COMPASS	14/02/2020		Roberto	Regina			FANALE ANT DX	MOD LATO SX  ANT/POST/PARAFANGO POST									Enrico
KT710556	FA-Fatturato	COMPASS	10/12/2019	24/02/2020	Costantino	Riuniti			MOD SUP MOD POST SX										
KPJ11834	FA-Fatturato	RENEGADE	11/12/2019	18/02/2020	Leo	Riuniti			SPECCHIO COMPLETO SX (BIANCO)	FRECCIA ANT DX									
KPK18933	FA-Fatturato	RENEGADE	10/01/2020	06/03/2020	ROBERTO	Riuniti			PARABREZZA	RINFRANGENTE ANT DX									 + bolli
J7586194	IC–INCarrozzeria	GIULIA	05/02/2020		Roberto	Riuniti			PARABREZZA	MOD. GOMMA MOD ANT/POST LATO SX	COFANO POSTERIORE + LOGO GIULIA CROMATA								
J7587267	IC–INCarrozzeria	GIULIA	12/02/2020		Roberto	Riuniti			PARABREZZA	CALOTTA  SX	COFANO POSTERIORE + LOGO GIULIA								
KPK20173	Pronta x consegna	RENEGADE	09/01/2020		Roberto	Riuniti	X Car		BASE ANTENNA	SENSORE PARAURTI PèOST DX E CENTRALE									
KPJ50953	FA-Fatturato	RENEGADE	11/12/2019	28/01/2020	Ciro	riuniti livor			3° STOP										
KPJ64337	FA-Fatturato	RENEGADE	21/10/2019	17/12/2019	Tognetti	Riuniti Livorno			CALOTTA  DX+SX										
KT609749	FA-Fatturato	COMPASS	11/12/2019	31/01/2020	Roberto	Riuniti Livorno?			PARABREZZA	MOD COFANO POST	MOD LATO SX  ANT/POST/PARAFANGO POST								
KPJ27906	FA-Fatturato	RENEGADE	10/01/2020	13/02/2020	Ciro	Spazio			FRECCIA DX										
KPJ83512	FA-Fatturato	RENEGADE	08/01/2020	12/02/2020	Costantino	Spazio			3° STOP	CAPPELLIERA	RINFRANGENTE PARAFANGO ANT SX								
KPJ54438	FA-Fatturato	RENEGADE	07/01/2020	13/02/2020	Roberto	Spazio			CAPPELLIERA DEFORMATA										
KPK20520	FA-Fatturato	RENEGADE	09/01/2020	12/02/2020	Roberto	Spazio			3° STOP	FANALE POST SX FUME'									
KPJ37379	FA-Fatturato	RENEGADE	11/12/2019	13/02/2020	Costantino	Spazio 			PARABREZZA	CALOTTA  SX	VETRINO FRECCIA SX								
KPJ38429	FA-Fatturato	RENEGADE	11/12/2019	31/01/2020	Costantino	Spazio 			PARABREZZA										
KPJ68548	FA-Fatturato	RENEGADE	11/12/2019	28/02/2020	Costantino	Spazio 			PARABREZZA	SPECCHIO RETROVISORE  DX	3° STOP								???????????????
KPJ44395	FA-Fatturato	RENEGADE	11/12/2019	29/01/2020	Leo	Spazio 			3 STOP										
KPJ68546	FA-Fatturato	RENEGADE	18/12/2019	31/01/2020	Roberto	Spazio 			PARABREZZA	RASAVETRO ANTERIORE DESTRO	RASAVETRO post destro								
KPK17724	FA-Fatturato	RENEGADE	11/12/2019	28/01/2020	Roberto	Spazio 			SPECCHIO COMPLETO DX (ANTRACITE)										
KPJ70248	FA-Fatturato	RENEGADE	10/12/2019	28/01/2020	Todaro	Spazio 			RASAVETRO MOD ANT SX	RASAVETRO post sx									
KPJ58225	PF–Preparazionefinale	RENEGADE	17/01/2020		Ciro	Stanga			CALOTTA  DX										Mandare e Eurocar
KPJ46139	PF–Preparazionefinale	RENEGADE	10/01/2020		Juliano	Stanga													Mandare e Eurocar Raschiavetri a dx
KT585557	PF–Preparazionefinale	COMPASS	29/01/2020		Ciro	Strada due			tergicristallo mancante	3° STOP	MOD LATO SX MOD. ANT/POST/PARAFANGO POST	FANALE POST. (PA)	GRIGLIA SOTTO PARABREZZA						Spazzola tergicristallo ant, scritta porta sx, modanatura ant sx, tappini, faro post sx, montante ant della porta post
KT607656	Pronta x consegna	COMPASS	05/02/2020		Costantino	Strada due			MOD COFANO POST (NERA) + PARAFANGO POST SX	MOD LATO DX ANT/POST/PARAFANGO POST	3° STOP								vern tetto nero
KT606367	FA-Fatturato	COMPASS	29/01/2020	04/05/2020	Leo	Strada due			MOD LATO SX ANT/POST/PARAFANGO POST	MOD COFANO POST	FANAle post SX (PA)								
KT632484	PF–Preparazionefinale	COMPASS	04/02/2020		Leo	Strada due			Calandra tra cofano e parabrezza	MOD LATO DX SUPERIORI ANT/POST/PARAFANGO POST e COFANO POST	FANALE POST SX (PORTELLONE)	MOD LATO SX Porta post, 							vern tetto nero
KPJ45413	IC–INCarrozzeria	RENEGADE	13/03/2020		Rafael	Strada due			PARABREZZA	FRECCIA SPECCHIO SX									
KPJ82718	IC–INCarrozzeria	RENEGADE	13/03/2020		Rafael	Strada Due			PARABREZZA	CATARINFRANGENTE ANT DX	RASAVETRO ANT DX								LUNOTTO
KPK02502	IC–INCarrozzeria	RENEGADE	11/03/2020		Rafael	Strada Due			PARABREZZA	CORPO SPECCHIO SX	RASAVETRO ANT DX								
KT606881	IC–INCarrozzeria	COMPASS	13/03/2020		Rafael	Strada Due			PARABREZZA	MOD LATO SX  ANT	FARO ANT SX	CORRIMANO SX							
KT632267	IC–INCarrozzeria	COMPASS	13/03/2020		Rafael	Strada Due			FANALE POST DX (PA)	MOD COFANO POST (C)	MOD LATO DX ANT/POST/PARAFANGO POST								
KT684757	PF–Preparazionefinale	COMPASS	05/02/2020		Rafael	Strada due			MOD COFANO POST 	MOD LATO DX ANT/POST/PARAFANGO POST	MOD LATO SX ANT/POST	TUTTI E 3 I MONTANTI DI PLASTICA DEL LATO DX							vern tetto nero
KT606638	FA-Fatturato	COMPASS	04/02/2020	04/03/2020	Roberto	Strada due			MOD LATO SX SUPERIORI ANT/POST/PARAFANGO POST/PORTELLONE	Calandra tra cofano e parabrezza	GUARNIZIONE PARABREZZA ANT SX 								vern tetto nero
KT632324	IC–INCarrozzeria	COMPASS	04/02/2020		Roberto	Strada due			Calandra tra cofano e parabrezza	MOD LATO DX SUPERIORI ANT/POST/PARAFANGO POST	MOD COFANO POST	FANALE POST DX E SX (PORTELLONE)	MOD porta post sx e parafango post sx						vern tetto nero in blocco
KT604605	IC–INCarrozzeria	COMPASS	05/02/2020		Ciro	Vannini			FANALE POST SX COFANO POST	MOD LATO DX SUPERIORI ANT/POST/PARAFANGO POST	MOD LATO SX MOD. MOD PORTA POST E COFANO POST	MOD LATO DX MOD. MOD PORTA ANT, POST E PARAFANGO	CORRIMANO CROMATO DX						vern tetto nero
KPJ53364	Pronta x consegna	RENEGADE	31/01/2020		Costantino	Vannini			RASAVETRO ant e post sx	fanale post sx									
KPJ54023	Pronta x consegna	RENEGADE	04/02/2020		Costantino	Vannini													
KT635196	IC–INCarrozzeria	COMPASS	21/02/2020		Ederson	Vannini			MOD LATO SX  P	MOD COFANO POST	CROMATURA  PORTIERA POSTERIORE								
KT642116	IC–INCarrozzeria	COMPASS	05/02/2020		Ederson	Vannini		TCA	MOD LATO DX SUPERIORI ANT/POST/PARAFANGO POST	MOD COFANO POST	PARABREZZA								vern tetto nero
KT642276	IC–INCarrozzeria	COMPASS	04/02/2020		Ederson	Vannini				Calandra tra cofano e parabrezza	tutte le MOD nere, sx dx e COFANO POST	3° STOP	FANALE POST DX						vern tetto nero
KT691542	IC–INCarrozzeria	COMPASS	21/02/2020		Ederson	Vannini			PARABREZZA	3° STOP	MOD LATO SX SUPERIORI ANT/POST/PARAFANGO POST	MOD COFANO POST MONTANTINO POST SX POST	FANALE POST SX (PA)						
KT684751	IC–INCarrozzeria	COMPASS	27/02/2020		Fabrizio	Vannini			PARABREZZA	MOD LATO SX SUPERIORI ANT/POST/PARAFANGO POST	CORRIMANO SX	MONTANTI  POST, PORTA ANT DX							
KPJ82113	IC–INCarrozzeria	RENEGADE	03/02/2020		Juliano	Vannini	Eurocar		FANALE POST DX										
KT606972	IC–INCarrozzeria	COMPASS	05/02/2020		Juliano	Vannini			FANALE POST DX	MOD LATO DX ANT/CENTRALE E POST	FANALE POST SX COFANO POST								vern tetto nero
7497896	IC–INCarrozzeria	GIULIETTA	29/01/2020		Leo	Vannini													
7523753	IC–INCarrozzeria	GIULIETTA	12/02/2020		Leo	Vannini			FANALE POST DX (COFANO)	FANALE POST SX (COFANO)	CORPO SPECCHIO DX	RASAVETRO ANT E POST LATO DX							
KPJ82216	IC–INCarrozzeria	RENEGADE	10/02/2020		Leo	Vannini			corpo specchio dx 	FANALE POST DX + SX									
KPJ83978	PF–Preparazionefinale	RENEGADE	20/01/2020		Leo	Vannini			PARABREZZA										
7524376	IC–INCarrozzeria	GIULIETTA	10/02/2020		Rafael	Vannini													X eurocar? Cofano e porta
KT691444	IC–INCarrozzeria	COMPASS	21/02/2020		Rafael	Vannini			FRECCIA SPECCHIO SX	CROMATURA PORT ANT SX CROMATURA POST PRTA SINISTRA CROMATURA PARAFANGO POST SX SOSTITUZIONE FARO POST SX	PARABREZZA	FANALE POST SX  	BARRA TETTO SX						
KT710799	IC–INCarrozzeria	COMPASS	14/02/2020		Rafael	Vannini			Calandra tra cofano e parabrezza	MOD lato sx  ANT/POST/PARAFANGO POST	MOD COFANO POST	luce post sx  (PA)	Corrimano Sx NERO						
KPJ21167	Pronta x consegna	RENEGADE	21/01/2020		Rafael	Vannini			3° STOP	FANALE POST SX	COPRO SPECCHIO  SX								
KT663361	FA-Fatturato	COMPASS	10/12/2019	22/01/2020	Ciro	X car			MOD SUPERIORI LATO SX ANT/POST/PARAFANGO POST	 									
KPJ64552	FA-Fatturato	RENEGADE	13/01/2020	31/01/2020	Costantino	x CAR			3° luce post 	VETRO FISSO DX									
KT632304	FA-Fatturato	COMPASS	11/12/2019	29/01/2020	Damiani	X Car			PARABREZZA	MOD LATO SX  A	MOD COFANO POST	GUARNIZIONE PARABREZZA ANT SX 							
KT663450	FA-Fatturato	COMPASS	10/12/2019	29/01/2020	Roberto	X Car			MOD SUPERIORI LATO SX ANT/POST/PARAFANGO POST										
KT710688	FA-Fatturato	COMPASS	11/12/2019	31/01/2020	Roberto	X Car			MOD LATO SX  ANT/POST/PARAFANGO POST										
KT654473	FA-Fatturato	COMPASS	11/12/2019	31/01/2020	Roberto	X Car			MOD LATO SX  ANT/POST										
KT632142	PF–Preparazionefinale	COMPASS	13/03/2020		Damiani	Xcar			PARABREZZA	MOD LATO DX  Porta post	MOD LATO SX  ANT/POST/PARAFANGO POST								 in allarme Cofano XCAR, raschiavetri dx e sx sia ant che post,
KT606418	FA-Fatturato	COMPASS	09/03/2020	05/05/2020	Fabrizio	Xcar			MOD COFANO POST	MOD LATO SX PORTA POST 	MOD LATO DX PORTA ANT/POST E PARAFANGO								
KT632075	PF–Preparazionefinale	COMPASS	13/03/2020		Juliano	Xcar			 COFANO POST	3° STOP	MOD LATO DX  ANT/POST/PARAFANGO POST	MOD LATO SX  PARAFANGO POST/PORTELLONE	CORRIMANO DX						porta post dx scrostata non da grandine
KT606042	IC–INCarrozzeria	COMPASS	13/03/2020		Rafael	Xcar			MOD lato dx  ANT/POST/PARAFANGO POST	FARO ANT DX 									
KT644736	Pronta x consegna	COMPASS	20/02/2020		Rafael	Xcar			PARABREZZA	MOD LATO SX P	MOD LATO DX P	MOD COFANO POST	CALANDRA SOTTO PARABREZZA						
HJ371662	FA-Fatturato	TUCSON	18/02/2020	18/02/2020	Ciro														800€ in
KT705369	FA-Fatturato	COMPASS	11/12/2019	31/01/2020	Costantino				MOD LATO SX  ANT/POST/PARAFANGO POST	PARABREZZA									
KT663355	FA-Fatturato	COMPASS	08/01/2020	22/01/2020	Damiani				MOD LATO SX SUPERIORI ANT/POST										 
KPJ66368	IC–INCarrozzeria	RENEGADE	21/02/2020		Juliano				PARABREZZA	NOTTOLINO COPRI TERGICRISTALLO POST	TERZO STOP								
7502502	FA-Fatturato	GIULIETTA	31/01/2020	13/02/2020	Leo				Fanale post sx COFANO POST 										
KPJ47462	IC–INCarrozzeria	RENEGADE	29/01/2020		Leo				3° STOP	CALOTTA  DX	PARABREZZA								sost carrozzeria
KPJ81264	IC–INCarrozzeria	RENEGADE	11/03/2020						FANALE POST SX	VETRO CALOTTA  SX	RASAVETRO ANT SX								
KPK10064	IC–INCarrozzeria	RENEGADE	13/03/2020						FANALE POST DX	3° STOP									
KPK16501	IC–INCarrozzeria	RENEGADE	27/02/2020						3° stop	CALOTTA  SX									
75265	NU-NuovoMezzo	GIULIETTA							LUNOTTO										
7495751	NU-NuovoMezzo	GIULIETTA							LUNOTTO										LUNOTTO
7524379	NU-NuovoMezzo	GIULIETTA																	
7534087	NU-NuovoMezzo	GIULIETTA																	
7534205	NU-NuovoMezzo	GIULIETTA							LUNOTTO	FANALI POST DX+SX (PORTELLONE)									LUNOTTO
7C28265	NU-NuovoMezzo	STELVIO							PARABREZZA	MOD LATO SX MOD.  P									
J41647	NU-NuovoMezzo	RENEGADE																	
